,t,fire_0_x,fire_0_y,fire_1_x,fire_1_y,fire_2_x,fire_2_y,fire_3_x,fire_3_y,fire_4_x,fire_4_y,police_0_x,police_0_y,police_1_x,police_1_y,police_2_x,police_2_y,police_3_x,police_3_y,police_4_x,police_4_y,guard_0_x,guard_0_y,guard_1_x,guard_1_y,guard_2_x,guard_2_y,guard_3_x,guard_3_y,guard_4_x,guard_4_y
13,13,-1.2036794286549277,-4.006271038639477,-0.3548640620996621,0.6882987234893249,-0.786538551070366,-1.1790625454748,-1.5114096572077522,0.0817714667833821,-0.6999148828119851,2.478032982459579,-1.5413592465720753,3.1006482058409985,0.4019740872882214,0.330588963013534,0.6045937945259489,-1.590949917732575,-0.3772036829329928,-0.19037196547790858,-2.321246502281395,-2.740574758490912,0.818149141362632,1.0121107756461716,1.247176400213421,0.40081812267969363,-3.902683249193534,-0.5806089506963005,3.0539121861830805,-2.493301705994609,-0.8620131549856,-1.1458659906179758
14,14,-1.4990515389619958,-4.3880811785500855,-0.37012862501863464,0.7170318071050522,-0.8427701497190726,-1.3173915808923975,-1.6948035401821409,0.019520684337733726,-0.8121783420743436,2.7097010293700037,-1.7166812383675318,3.5345948166616887,0.374655563885354,0.43654691202502754,0.6746654253858312,-1.7141433875836616,-0.34594522059783883,-0.2082784298803784,-2.3983509040984274,-3.149150726553442,0.7010467207114067,1.0608713029220342,1.2866539305231584,0.592517384959298,-4.157975815257198,-0.5705478682570847,3.5540763278679455,-2.7702973230401504,-0.9955860278820065,-1.0595216100442755
15,15,-1.7762492781088794,-4.753665184522841,-0.3478247481018237,0.7832746688921548,-0.8351951495973109,-1.5184656148453715,-1.9437225212545024,-0.121552418014461,-1.0231858919941854,2.90126358418438,-1.8501938417316637,3.8784479548162714,0.43128811234576486,0.5496218944674836,0.7777111880959713,-1.7719569979317775,-0.2927325301689768,-0.3182662532389944,-2.4733143002032776,-3.580429925541233,0.5200141879887306,1.0375403702801067,1.2707139016192586,0.7907209889110375,-4.392728463259578,-0.5357382331285795,4.129704305269759,-3.0470509722243886,-1.122649993981744,-0.9226725358374126
16,16,-2.0410240893695257,-5.020349098223473,-0.26754273740338125,0.7854477431925531,-0.7580937557696997,-1.7574905697610537,-2.1821252695199345,-0.3044300224564967,-1.2646523648834962,3.148519757442861,-1.9772984922244057,4.265354158914329,0.4916665493678725,0.7113077517002538,0.7901936007595513,-1.8926346403035332,-0.1619209105461097,-0.352947092860063,-2.4896654524211126,-4.048102981941923,0.37278062072947526,0.9309629033769489,1.1556624178835617,1.052184499343361,-4.606478199054446,-0.45275356493490904,4.6975131687284675,-3.226375088783979,-1.2920401939998483,-0.7968372602919134
17,17,-2.230431166549888,-5.235418064430587,-0.20573606940786426,0.6931738556004082,-0.6046541965493388,-2.06614985050526,-2.4230970159187937,-0.4863442417560904,-1.4809032338850998,3.3782272513195246,-2.038297381911566,4.616134653575229,0.5388632780781419,0.8072923290989968,0.7681193990869238,-2.0883131427120034,-0.019764438028873038,-0.3538641961663075,-2.5429383276656137,-4.430450586692155,0.2672085778196919,0.7390639065774951,1.1347452427938252,1.3065047206811224,-4.856031378633656,-0.31113602195645,5.188874427529815,-3.4847886835855046,-1.5541962788609278,-0.7009816935904435
18,18,-2.4128757726361645,-5.515791693317028,-0.15539904014674616,0.608226228741962,-0.36701971984266735,-2.4636180444962688,-2.7036885295733732,-0.7227038107026293,-1.7081473991796794,3.580453858692155,-2.19775259635199,5.037191441430532,0.6385029721647021,0.8636261496360221,0.7080355765437858,-2.1963603541597525,0.07448097944580544,-0.35555382871686764,-2.636863695708451,-4.8873856678894985,0.14234131557435653,0.5434909512527343,1.0827160079968812,1.5239969613661428,-5.033048772263931,-0.2047814858015533,5.6667280591124785,-3.8196305940642574,-1.9033563728849774,-0.5501962394230284
19,19,-2.5930927137663318,-5.840600303679693,-0.13668348309244727,0.4276444746042263,-0.17994689007810016,-2.9046099737402877,-3.0084655816985024,-1.0209528341315643,-1.9818012705813919,3.695505801974928,-2.4483446002493383,5.410275178958842,0.7223366849502644,0.8396587921179806,0.7239724244833817,-2.2136780281404818,0.0945963436624382,-0.4200934817213606,-2.78100734427915,-5.2778653795187145,-0.03752007551337749,0.3331188158313326,0.9406595814447103,1.7457650664227258,-5.201391188334181,-0.0790336574282238,6.213554824191023,-4.068664651047391,-2.164612034838087,-0.3404673385231619
20,20,-2.7764940542708647,-6.096152154074848,-0.04893848449351383,0.2762437296283033,-0.014534532740765937,-3.2670858964782976,-3.3140981261415856,-1.2992430049370938,-2.1723414345174152,3.847066111684088,-2.785957566378876,5.850301961859396,0.8006658546263383,0.8481453042942079,0.7626944025327076,-2.213629911724551,0.1195386958503674,-0.44700271614984705,-2.8561088548401186,-5.618577606862086,-0.22970353068190452,0.10592443043797539,0.7519669414552411,2.002321223872295,-5.466714076588986,-0.05020326096043681,6.747628031363714,-4.324719574128606,-2.33674984366419,-0.14318748757620636
21,21,-2.930510952038451,-6.26096712378004,0.016247118130494398,0.1021286787206857,0.08816426689459911,-3.6161293179374554,-3.5236531030647757,-1.5942720994367967,-2.2653042677448414,3.916249256412306,-3.149524000120212,6.226628699340193,0.8985777294760335,0.8552906542152331,0.858297581028355,-2.2797956283280127,0.06216496799763739,-0.5159652880465181,-2.9106986803474317,-6.01058980570435,-0.4968717699384117,-0.20101793030533,0.608357052806928,2.1959922563998804,-5.7230197586214695,-0.05811136668639423,7.203080998799669,-4.595710634362564,-2.5295755756044254,0.11217020581782433
22,22,-3.0126121638400574,-6.468434403780067,-0.0035919441330481555,-0.15714251679402824,0.19238405074091175,-3.947975187944436,-3.7584003821085594,-1.8196813832872167,-2.413729692706796,4.023656894385372,-3.4270076917599948,6.6351835629666605,1.0443494109866758,0.8799458731535534,1.012843290889591,-2.4351118382995955,-0.011371584572998042,-0.49307217271278836,-2.931762984644069,-6.3473595776282,-0.7494351260758711,-0.5376193652916543,0.3711863678786084,2.4731562829656952,-6.058554511094511,-0.01716518817380299,7.621525197902279,-4.798805661782079,-2.6420346104196684,0.39226729184011766
